Sentiment,Transcript
,"I think anybody that serves in public office should have a little bit of contempt for government in their heart. Then you are always constantly trying to fix the problem. But I was willing to delve into the details. Get into the nitty gritty. And try and find even down to the pennies ways to save taxpayers money. A lot of people say they want to go to Washington to do this, do that. I want to go to Washington to undo this, to undo that. 'Cause if you take the money out of government's hands, put it into the people's hands. Private citizens, they know how to take one dollar and turn it into two. The government takes one dollar and usually turns it into 50 cents. They don't know how to create jobs. Government does not create profit. Government actually stymies jobs and stymies profits by creating more bureaucracies and more barriers and more burdens. I want to go up there and roll up my sleeves. Do my part. Make a difference and then go home. Carlos Lopez-Cantera for Senate. I'm Carlos Lopez-Cantera and I approved this message."
,"With congressional approval ratings so low, I have had to turn to bringing veterans back to life just to try to up our poll ratings in Congress and increase our approval."
,spanish -> I'm Bernie Sanders and I approved this message.
,"Folly. Noun. A lack of good sense. This is David Jolly's Folly. Promising to fight Planned Parenthood, he was the only Republican who voted to end the investigation into their selling of fetal baby parts. Major folly by David Jolly."
,"Wanna shake up Washington? Don't send another politician. Send Ted Budd. See Ted Budd wouldn't be your typical congressman. He's a real conservative. A North Carolina businessman and family man. Never run for office before. Ted Budd would bring strong, local, common-sense, conservative values to D.C. And man do they need it. Ted Budd for Congress. Club for Growth Action is responsible for the content of this advertising."
,America is being tested. National security at risk. Stagnant wages. Great uncertainty. Who can turn things around? The answer is Joe Heck. Battlefield tested. A general and decorated commander. A medical doctor who understands the stakes. His focus? Rebuilding the economy. Creating jobs. That's Joe Heck. He stands his ground for you. The U.S. Chamber of Commerce is responsible for the content of this advertising.
,"Why does Governor Jerry Brown support Kamala Harris for U.S. Senate? She's strong, she's intelligent, she knows what she's doing. And the experience of bringing environmental lawsuits, bringing lawsuits against corporate malfeasance and banks, gives her that broad spectrum of experience. Join Jerry Brown, the Sierra Club and the California Democratic Party. Vote Kamala Harris for Senate. She's fearless for the people. I'm Kamala Harris and I approve this message."
,"More than 25 Ohioans are dying every week from drug overdoses. Heroin addiction's become an epidemic that's sweeping across our communities, destroying lives and tearing families apart. Fortunately there's some hope on the way. Working together with Democrats and Republicans, I passed legislation to help break the grip of addiction. By investing in prevention, treatment and recovery, empowering law enforcement in stopping the overprescribing of painkillers, we can turn the tide."
,"I've worked since I was 13. Worked my way through college and raised my three girls. After 45 years on the job I looked forward to retirement. It's something we all deserve. But Senator Kelly Ayotte has a different plan for seniors. Keep working. Ayotte supported a plan to raise the eligibility age for Medicare and turn it into a voucher program, raising out-of-pocket costs for seniors. I don't think Kelly Ayotte's for us. Senate Majority PAC is responsible for the content of this advertising."
,Katcho Achadjian voted to limit women's access to an abortion. He voted to restrict women's access to birth control. He voted against maternity care. Katcho Achadjian even supported letting insurance companies charge women more than men. No wonder Katcho Achadjian got a 0% rating from Planned Parenthood. Salud Carbajal will protect a woman's right to make her own health care decisions. That's why Planned Parenthood called Salud Carbajal a champion. House Majority PAC is responsible for the content of this ad.
,spanish -> You're going to have a deportation force. -> spanish -> House Majority PAC es responsable por el contenido de este anuncio.
,"Luke Air Force Base is not only by vital to our national security, but also to our local communities and economy. Senator John McCain has been a powerful advocate for the base, taking a bipartisan approach when securing the Fighter Pilot Training Program. Thousands of jobs depend on Luke. Without John McCain's leadership and experience, we could have lost many of those jobs. Without question Senator McCain's leadership has made Arizona and America stronger. I'm John McCain and I approve this message."
,"America depends on top notch fighter pilots, many of whom are produced at Luke Air Force Base. Luke Air Force Base is not only vital to our national security, but also to our local communities and economy. There has not been a stronger advocate in Washington for Luke than Senator John McCain. Thousands of jobs depend on Luke. Without John McCain's leadership and experience, we could have lost many of those jobs. He took a common sense, and a bipartisan approach when working with local and state officials. And together, we secured the Fighter Pilot Training Program, which is so meaningful to all of us. Many of the individuals that pass through Luke Air Force Base, do eventually end up retiring here, because we feel like this is a community that shares those values. And certainly I think John McCain understands those values as well as the cultures and traditions that we hold dear in the military. In strengthening Luke, and in so many other ways, he's made Arizona and America stronger, and he's never wavered. I'm John McCain and I approve this message."
,When Mexico sends its people. They're bringing crime. They're rapists. Are you gonna have a massive deportation force? You're going to have a deportation force. We're rounding them up in a very humane way. In a very nice way. We're going to build a wall. -> spanish -> NextGen California Action Committee -> spanish
,Arizona has a lot to be proud of. The beautiful sunsets. The Grand Canyon. The people that make this state great. But what's Ann Kirkpatrick most proud of? It's her vote for Obamacare. It's also the one I'm most proud about. After thousands of votes Kirkpatrick says Obamacare's the one I'm most proud about. She may be proud but Arizona is paying the price. Ann Kirkpatrick. Wrong on Obamacare. Wrong for Arizona. The U.S. Chamber of Commerce is responsible for the content of this advertising.
,"I'm Renee Ellmers and I approved this message. Inherited family millions made George Holding one of the richest members of Congress. Yet Holding spent $4,000 of your money, not his, to upgrade just one flight to first class. And thousands more for 12 fancy, fabulous international journeys. All in cahoots with his buddy, John Boehner. Holding's no conservative. He spends your money, not his."
,"(Only one candidate can stand up to vulture funds for Puerto Rico. Bernie Sanders. He opposes the insider deal. Why? It could lead to slashed pensions, more unemployment, closed hospitals and school cuts.) The people of Puerto Rico must be empowered to determine their own destiny. (He'll fight for Puerto Rico because he doesn't take Wall Street money and isn't part of the Washington status quo.) I'm Bernie Sanders and I approved this message."
,"All of this with the global warming and the. A lot of it's a hoax. It's a hoax. It'll get cooler, it'll get warmer. It's called weather. We need some global warming. We need leaders who get it. So that we can move away from coal and oil to clean energy. I'm Tom Steyer. If you want to do something about climate change you can. Please register and vote. NextGen California Action Committee is responsible for the content of this advertising."
,"Service. For veterans like Marlyn it starts with fixing our broken VA system. For years the Tomah VA put veterans like Marlyn at risk, overprescribing dangerous medicines. Russ Feingold was told but did nothing to help. Then we elected Ron Johnson. As chairman of the Government Affairs Committee he listened and acted. Demanding accountability. Delivering solutions. It's why we need Ron Johnson."
,We all know people who only look out for themselves. As a state official Katie McGinty helped steer millions of taxpayer dollars to companies that promised to hire us. Instead factories shut down and hundreds were fired. But McGinty got hired. She walked away with a board position and a six-figure salary. So whose job does she care about more? Yours or hers? Freedom Partners Action Fund is responsible for the content of this advertising.
,"Everyone knows Kelly Ayotte voted against more background checks for gun sales. But now she's trying again to hide her vote from Granite Staters. Kelly's voted for background checks. Three years ago the gun lobby helped hide her vote, making the same claim in their ad. Kelly Ayotte voted for a bipartisan plan to make background checks more effective. And here's how that particular sleight of hand works. It is a standard Washington trick. After Kelly Ayotte stood on the Senate floor as part of a minority that was able to block the will of the majority of the Senate to legislate expanded background checks, she stood on the Senate floor and voted for a fake background check bill so that later she could claim. It's a bill that I did support. If she needed to. Kelly's voted for background checks. That she voted for some kind of background checks. Kelly Ayotte was trying to mislead Granite Staters in 2013 and she's trying to mislead them now. Tell Kelly Ayotte to come clean about her real record. The same one the gun lobby supports."
,"Katie McGinty funneled millions of tax dollars to a group that employed her husband. The State Ethics Commission unanimously denounced such actions and the Supreme Court agreed. An insider with ethics problems, McGinty's not what we need in Washington. Something we need more of? Ed Rendell called Pat Toomey a man of uncommon decency. A bipartisan leader, Pat Toomey is rated one of the hardest-working senators. I'm Pat Toomey and I approved this message."
,Want real change? Make a plan. Vote for Bernie Sanders. Bring everyone. Join the revolution. Change the future. Feel the Bern.
,"Oh yeah. Still gotta get a presidential candidate. There's this guy. This guy. This guy. This guy. That lady. This guy. This guy. That guy. Oh. Hey, look at that. That's different. This guy looks like the real deal. Interesting. Wait, what's all this? Huge debt. Government watchlists. What is this crap? Single-payer healthcare. Four bankruptcies. Big government. America can do better. Just say no to Trump. Make America Awesome. MakeAmericaAwesome.com."
,"Unlike the other people running he has a real track record. If you want to see that balanced budget. If you want to get rid of Obamacare. We've got to turn out, and make sure we send a signal loud and clear. America's counting on you. A great governor of a great state. John Kasich."
,"If your words can inspire them to cheer, to go to the polls and vote, to speak out for you, don't you think your words in some way can inspire them to violence and incite violence as well? Don't you understand that you can't say in one term, well I'm getting people to vote for me, but my words have meaning. But then on the other hand my words don't have meaning when it comes to another particular issue? Yeah well I certainly don't incite violence and I certainly would I don't condone violence. Knock the crap out him would you. Seriously. Okay? Just knock the hell. I promise you I will pay for the legal fees. And introduced Trump. Trump spoke for about thirty or so minutes, and when a protester did interrupt. We had some people. Some rough guys like we have right in here. And they started punching back. It was a beautiful thing. I mean they started punching back. In the good old days this doesn't happen because they used to treat them very, very rough. And when they protested once, you know they would not do it again so. I love the old days. You know what they used to do to guys like that when they were in a place like this? They'd be carried out on a stretcher folks. Alright, get him out of here please. Get him out. Get him out. Are you from Mexico? Are you from Mexico? Huh? Are you from Mexico? Yeah get him out. Try not to hurt hit. If you do I'll defend you in court. Don't worry about it. Get that guy out of here. Get him out. Get that guy out of here. This is amazing. So much fun. I love it. I love it. We having a good time. USA. USA. USA. USA. USA. USA. USA. USA. USA."
,"This is Medicare Advantage. Great health benefits that millions of retirees rely upon. But the Obama administration is at it again, trying to cut Medicare Advantage. Cuts that will reduce benefits and lead to higher costs for retirees. What's worse? Obama's cuts could be finalized by April 4th. But Congress can stop them with your help. Call your member of Congress. Tell them to stop Obama's Medicare Advantage cuts."
,Ben said it very well tonight. He said perhaps there are two Donald Trumps. I don't think there are two Donald Trumps. I think there's one Donald Trump.
,"I love Israel. I'm very pro-Israel. I would love to see a deal be made between Israel and the Palestinians. It's probably the hardest negotiation there is. Great negotiators have tried and they failed. It's just so deep-seated. The hatred. The level of distrust. But I'm gonna give it an awfully good shot. I want to remain as neutral as possible because if you're not somewhat neutral, the other side is never going to do it. But just remember Israel, I love you. We're gonna see if we can get something done. It has to be done for both sides. It cannot continue to be the way it is. Let's see what we can negotiate. Let's see if it can be done."
,If you want to senator who will work to build an economy that works for everyone. Who will stand up to the extreme wing of the gun lobby to help end gun violence. Who will work to reduce the crushing burden of student loan debt. Who'll be unwavering in defending a woman's right to choose. Who will always defend our voting rights. Who will work to reform our criminal justice system. Who will work to reform our campaign finance system. Who will always be on the side of working people and a living wage. And who will welcome immigrants as part of the DNA of who we are. Then I'm asking for your vote. I want your support. And I'll be that senator.
,"When I put one of my children on a school bus in the morning I have every right to believe that I am sending my child to an environment where they're as safe as they can possibly be. To help protect our children Senator Toomey introduced legislation that requires background checks for school employees, keeping predators out of our schools. Tell Senator Toomey to keep fighting for our children and safe schools."
,"My record is is mixed and spotty, and I can be criticized for that. Retread Ted's record? Strickland spent over a decade in Washington but wasn't able to offer a single bill that became law. As governor, Ohio lost over 350,000 jobs. Then Strickland went back to D.C. to run the lobbying arm of a liberal special-interest group. That was a dream job. Paid me more money than I've ever made in my life. Retread Ted. We can't go back."
,I think I'm probably the most transparent person in public life. I feel you know a lot more about me than you know about anybody else. I think I'm probably the most transparent person in public life. Stay tuned. There'll be a lot more.
,"All the pipes have been stripped out. Anything of value in here is gone. This is a cathedral to addiction, because the people break in, they strip the copper out, and they sell it for pennies and this is what happens. What would our country look like if 30 years ago we didn't declare a war on drugs, but we declared a war on addiction and treated it like the medical condition that it is? How many millions of families' lives would not have been damaged or destroyed by seeing their loved ones get sent away for years and years through mandatory minimum sentencing? Who'd want to live next to this? I don't know. But what's remarkable to remember is that families grew up here. People that had jobs, people that had lives and at one point in time this was a beautiful home for some family and that's changed. I'm John Fetterman and I approve this message because something needs to change."
,"Here are some words The Washington Post used to describe Kathleen Matthews. Pragmatic, progressive, achiever. Kathleen earned the Washington Post endorsement because, as they point out, she'll fight to strengthen gun safety laws, support clean energy, and invest in education and health care. Here are a few final words they used. Quote one candidate stands out as having the potential to make an impact in Congress. Kathleen Matthews. I'm Kathleen Matthews, Democrat for Congress, and I approve this message. Paid for by Kathleen Matthews for Congress."
,"Meet Merrick Garland. Obama and his liberal allies have been working hard to paint Garland as a moderate for the Supreme Court. But there is no painting over the truth. Garland would be the tie-breaking vote for Obama's big-government liberalism. The Second Amendment right to keep and bear arms. Gutted. Partial-birth abortion. Legalized. Unaccountable agencies like the EPA. Unleashed. How do we know? Because we have seen Garland's record and it's not moderate. In two separate cases Garland has demonstrated his strong hostility to gun owner rights. He even sided with the federal government on keeping personal information on anyone who purchases a gun. Unaccountable agencies like the EPA, in a dozen close cases in which the court divided, he sided with the agency every time. According to The New York Times if Judge Garland is confirmed, he could tip the ideological balance to create the most liberal Supreme Court in 50 years. Moderate? Nice try."
,He's ignored the Constitution for years. Now in his last days President Obama wants to add a liberal justice to the Supreme Court. Even The New York Times says this would create the most liberal Supreme Court in 50 years. The NRA says it would lead to Americans losing their ability to own firearms for protection. Small business leaders know it would kill jobs. Don't let President Obama and Senator Bennett stack the Supreme Court. Let the people decide.
,"Look at this. This bridge has been closed because it is not structurally sound enough to accommodate the weight of a bus. This is another bridge that was shut down and drastically alter the public transportation. And this is bridge number three. What's wrong with our political system? The money that that anyone would have to spend to win a Senate race in this country could fix the three bridges in my community, and that to me is what's perverse and crazy about this post-Citizens United world. There's a complete dislocation between the political establishment and the reality on the ground here. You know there isn't anybody in Washington that lives in a community that's facing issues like this. I'm John Fetterman and I approve this message because something needs to change."
,"Ted Strickland talks tough on China. The truth? Rob Portman is fighting against China, standing up to his own party to stop China's currency manipulation. Protecting Ohio jobs when China cheats. And Ted Strickland? In Congress, Strickland refused to hold China accountable for unfair trade practices. As Governor, Strickland opened a trade office in China, then gave a four million dollar loan to a company with a Chinese factory. Retread Ted. Weak on China. Wrong on jobs."
,"Must be a pretty picture, you dropping to your knees. You wouldn't have your job if you weren't beautiful. Do you believe in punishment for abortion, yes or no, as a principle? There has to be some form of punishment. For the woman? Yeah, there has to be some form."
,Ruben came from humble beginnings and became a progressive champion in the state senate. Ruben has been a fearless leader for higher wages and equal pay for women. In Congress Ruben will stand up to Republicans to create good paying jobs and protect Social Security. I'm Ruben Kihuen. I approve this ad. Mom worked here as a housekeeper so I could have a better life. I work every day to make her proud. I know Ruben will work every day to make Nevadans proud to.
,I grew up here in North Las Vegas. Mom worked here as a housekeeper so I could have a better life. Ruben became a progressive champion in the state senate. And that's why President Bill Clinton and I endorse Ruben Kihuen for Congress. In Congress I'll take on Republicans to pass equal pay for women and protect Social Security. That's why unions across Nevada support Ruben. I'm Ruben Kihuen. I approve this ad because I never forget where I came from and I know what's worth fighting for in Congress.
,"After years of reckless spending Puerto Rico is out of money. Now savers and seniors could pay the price. Why should you care? Because Puerto Rico is just the start. The Obama administration wants to set a precedent. High-spending states like Illinois, New Jersey, California owe trillions in debt. When these states can't afford to pay you could be stuck with the bill. Puerto Rico is just the first domino to fall. Tell Congress no Super Chapter 9 bankruptcy for Puerto Rico."
,"There's only one cure for today's congressional laws blahs. Blaha. Robert Blaha is a tenacious fighter. A business leader who knows how to bring change. Blaha's a conservative Republican outsider. Tough. Direct. Effective. He's pro-life, pro-Second Amendment, lower taxes. Send me to Washington and if I can't make a difference, I'll voluntarily come back after just one term. I'm Robert Blaha and I approved this message."
,"I've worked here for 43 years. It was a good place to me. Rob Portman voted for NAFTA and other trading deals. He changed the playing field in a manner to where America couldn't compete. Rob Portman pretty much gave our jobs away. He gave a lot of life blood away. If Rob Portman did his job and felt the way about his job like I feel about this place, we wouldn't be sitting here right now. AFSCME People is responsible for the content of this ad."
,The dumbest people in the world are making the worst trade deals. We don't have our best and our brightest negotiating for us. We have a bunch of losers. We have a bunch of political hacks. China is ripping us on trade. They're devaluing their currency. And they're killing our companies. Every trade deal we make stinks. It stinks. We need smart people making the deals and we don't have smart people making the deals. We have people that are stupid. We have people that aren't smart. And we have people that are controlled by special interests. And it's just not going to work.
,"If your plumber doesn't stop the flow you get a new plumber. If your doctor brings you pain you get a new doctor. So why on earth do you keep sending bozos like Michael Bennet back to Washington when they fail to get anything done? Bennet and Obama have failed to turn this economy around and Senator Bennet wants us to send him back to D.C. I have a better idea. Send me to Washington and if I can't make a difference, I'll voluntarily come back after just one term. Cut the deficit, slash illegal immigration in half, fix our horrific tax system, or I'll come home and help find someone that can. That's my product guarantee. I'm Robert Blaha and I approved this message."
,You know what the strongest lobby is? It's the gun lobby. Which intimidates people. Threatens elected officials. It is time my friends we stand together and say enough. And when it comes to guns we have just too many guns. I also feel absolutely motivated in every way to take on the gun lobby. You know the NRA's position reminds me of negotiating with the Iranians or the communists. Because we have created a culture in which people grab for guns all the time. Thank you. Please stand up against the NRA and the gun lobby. What is wrong with us that we can't stand up to the NRA? And the gun lobby and the gun manufactures that they represent?
,"I'm pleased to announce my endorsement of Senator Ted Cruz for the Republican nomination for President of the United States. You know Senator Cruz is one of the most powerful defenders of freedom that we have. He's repeatedly shown courage in fighting the permanent political class. I also appreciate Donald Trump and the way he demands a strong America, a vibrant military, and secure borders. He's also a man of vision and courage. However, after a lot of thought, I believe that Ted Cruz is the best choice for conservatives who want an outsider. You know I plan to go to Washington and be a senator much like Ted Cruz. One who speaks out, who works for conservative principles and stands up to the political class. My unique background as a leader, attacking waste in variation and telling the truth, even when it's uncomfortable, differentiates me from the rest of this field. I look forward to working with President Ted Cruz, and together driving Colorado and America forward."
,"Sanctuary cities refuse to cooperate with immigration laws, even releasing violent criminals here illegally. Katie McGinty would allow Philadelphia's extreme sanctuary rules. Sheriff's throughout Pennsylvania have urged McGinty to oppose Philly's dangerous policy. Even leading Democrats say it goes too far. But not liberal Katie McGinty. Pat Toomey? He's fighting to end sanctuary cities. I'm Pat Toomey. I approve this message because our safety has to come first."
,There's a Wisconsin we all believe in. A place of inspiration and aspiration. All we ask for is the opportunity to succeed. And Senator Ron Johnson has the vision to get us there. A businessman who knows how to balance a budget. How to create jobs. Fighting Washington's reckless spending to protect taxpayers here at home. Ron Johnson. Sponsoring legislation that delivers real solutions.
,"What choice do Californians have in this election? The biggest one of all. You have the power to choose a new direction for the Democratic party. To break the back of a corrupt system of campaign finance that keeps a rigged economy in place. To stand up to Wall Street and make the wealthy pay their fair share. To fight for tuition-free public colleges and universities. California, it's a long way to Washington, but you can send them a message they can't ignore. I'm Bernie Sanders and I approved this message."
,"We know Chemtrail Kelli Ward spent taxpayer dollars to entertain chemtrail conspiracy theories. I'd do it again. Of course I would do it again. But Ward's bad judgment keeps dangerous company. A global plan to black out the sun. I I I know all of this. I know they're spraying my family. Only aliens would want to do something like that. Chemtrail Kelli Ward fuels the conspiracy using your tax dollars. I'm open. I introduce legislation all the time. I'm willing to continue this conversation. I'd do it again. Of course I would do it again. Kelli Ward, you're amazing. I'm going to pray you get into the Senate. Chemtrail Kelli. Bad judgment. Too dangerous for Arizona."
,You've heard Ted Strickland brag about how he made two hundred and fifty grand running the lobbying arm of a D.C. special interest group. I had a job last year that was a dream job. Paid me more money than I've ever made in my life. Now Retread Ted wants a new job. And why does he think he deserves it? Strickland said quote I probably need the paycheck more. Ted Strickland. Just another D.C. insider looking for his next big payday.
